energy,photons,n_squared,beta,visibility,detector_efficiency,absorbed_in_sample,total_weight,total_weight_no_vis
10.0,22006990.0,3.06578477873e-11,4.82129053986e-08,0.225079079039,1.0,3.4144169371e-26,7.88497358626e-21,3.50320146142e-20
11.0,15721340.0,2.08919019483e-11,3.29857002207e-08,0.00183497720572,1.0,6.82616411868e-20,1.81577592736e-16,9.89535958107e-14
12.0,14529440.0,1.47225630659e-11,2.33598116192e-08,0.0356778852802,1.0,1.5604597171e-15,1.04930473227e-11,2.94105080509e-10
13.0,14533430.0,1.0671447061e-11,1.70319601864e-08,0.266977244148,1.0,2.01625917183e-12,2.37059999927e-07,8.87940845607e-07
14.0,15493270.0,7.9229986146e-12,1.27316000566e-08,0.535346628023,1.0,3.84595906158e-10,6.45130252485e-05,0.000120507017083
15.0,16071890.0,6.00526815552e-12,9.72525449843e-09,0.636619772368,1.0,1.97011330375e-08,0.00477209069054,0.00749598252783
16.0,16415630.0,4.63432612306e-12,7.57139176063e-09,0.557872181066,1.0,3.99124050231e-07,0.151955732503,0.272384495338
17.0,16484150.0,3.63328536332e-12,5.99443385962e-09,0.391263814059,1.0,4.1421476236e-06,1.74614765519,4.46283963006
18.0,16349650.0,2.88857242586e-12,4.8174235231e-09,0.225079079039,0.999999999998,2.62829237264e-05,9.12598034649,40.5456623754
19.0,16072860.0,2.32529423965e-12,3.92361496921e-09,0.104164231829,0.999999999924,0.000115409502365,24.6507157045,236.65240238
20.0,15701720.0,1.89288992932e-12,3.23496967999e-09,0.0356778852802,0.999999998206,0.000382378895422,35.094564967,983.650367486
21.0,15262890.0,1.55650411132e-12,2.69781389879e-09,0.00701443580851,0.999999976101,0.00101731912992,21.9762548788,3133.00391916
22.0,14778990.0,1.29164993754e-12,2.27230114859e-09,0.000231134364772,0.999999795996,0.00228786387246,1.87896038385,8129.29910142
23.0,14262720.0,1.08082085883e-12,1.93102754748e-09,0.000202322067428,0.999998774001,0.00450831373862,3.62929132573,17938.1882158
24.0,13731440.0,9.11311073753e-13,1.65645708611e-09,0.00472701847498,0.999994492367,0.0079449431802,163.366667158,34560.1922273
25.0,13196910.0,7.73774043117e-13,1.43160723907e-09,0.0187856927624,0.99998025447,0.01286814986,1127.67128169,60028.1978392
26.0,12669830.0,6.61236962991e-13,1.24632567566e-09,0.0440091349102,0.999941261485,0.0194246809401,4210.02794797,95662.5926994
27.0,12152890.0,5.68436862048e-13,1.09131195252e-09,0.0795774715459,0.999848362451,0.0277714185595,11362.8159173,142789.356039
28.0,11652070.0,4.91363744001e-13,9.60524608505e-10,0.123360449947,0.999653136743,0.0379653632206,24878.3199648,201671.767373
29.0,11160710.0,4.26922155059e-13,8.51051260363e-10,0.172731126828,0.999290699247,0.0496986524533,46677.9463995,270234.712508
30.0,10690310.0,3.72708717233e-13,7.57444193242e-10,0.225079079039,0.998669083649,0.063055705443,78360.0644986,348144.593594
31.0,10241240.0,3.26834564722e-13,6.7876848356e-10,0.278093080552,0.997708988292,0.0773648260083,119748.010335,430604.062846
32.0,9806569.0,2.87806868058e-13,6.10552335122e-10,0.329885661446,0.996285613803,0.0928954879192,170801.427296,517759.476261
33.0,9394281.0,2.54435354416e-13,5.52574826228e-10,0.379018864444,0.994346308474,0.10884418106,229006.626992,604209.047293
34.0,9003401.0,2.25763671803e-13,5.01834596515e-10,0.424474291334,0.991762349984,0.125528720461,293278.794191,690922.395486
35.0,8626690.0,2.01019868945e-13,4.58040898295e-10,0.465596253276,0.988524307597,0.142298050043,359832.733488,772842.84604
36.0,8264491.0,1.79575068479e-13,4.19593317663e-10,0.502025943162,0.984553184254,0.159263140796,426696.909642,849949.918831
37.0,7924030.0,1.60915611892e-13,3.85745545524e-10,0.533636914402,0.979832903356,0.176239598501,491793.248281,921587.759408
38.0,7598274.0,1.44618161911e-13,3.56158435286e-10,0.560477132707,0.974442521339,0.192803733501,551898.368888,984693.820106
39.0,7287332.0,1.30333039543e-13,3.29594424436e-10,0.582719754623,0.968252046466,0.209423477014,607023.208921,1041706.93392
40.0,6990770.0,1.17769017295e-13,3.06158438568e-10,0.600622975292,0.961422007374,0.225492722188,654467.885846,1089648.43632
41.0,6708911.0,1.06683404665e-13,2.8507669376e-10,0.614498322036,0.953883769373,0.241333168413,694718.643337,1130546.038
42.0,6440020.0,9.68721569827e-14,2.66030073536e-10,0.624686328366,0.945669343635,0.256929349476,727412.589117,1164444.54774
43.0,6183438.0,8.81633130333e-14,2.49302238119e-10,0.631538389296,0.93720840193,0.271491265299,750609.040575,1188540.6387
44.0,5939238.0,8.04116470339e-14,2.34019485123e-10,0.635403634233,0.928171740209,0.285829209404,766847.326269,1206866.4467
45.0,5705101.0,7.34936459678e-14,2.20142191438e-10,0.636619772368,0.91871816749,0.299730643336,775853.190799,1218707.34224
46.0,5481425.0,6.73038238951e-14,2.07810974424e-10,0.635507016066,0.909263816799,0.312654793257,777256.647301,1223049.6716
47.0,5267937.0,6.17522364948e-14,1.96445180146e-10,0.632364341756,0.89942010117,0.325315666708,773344.751357,1222941.74464
48.0,5063606.0,5.67615382158e-14,1.86001102888e-10,0.627467490294,0.889304525449,0.337604818423,764483.779004,1218363.9644
49.0,4867875.0,5.22649313025e-14,1.76695234899e-10,0.621068233394,0.879493046841,0.348874856273,750338.639103,1208142.03458
50.0,4680795.0,4.82049623333e-14,1.68051173082e-10,0.613394537572,0.869452496078,0.359886808212,732979.797577,1194956.51278
51.0,4501420.0,4.45317221593e-14,1.60009142519e-10,0.604651343076,0.859213597412,0.370641088189,712892.060822,1179013.44136
52.0,4329377.0,4.12018249237e-14,1.5277881468e-10,0.595021744368,0.849414117798,0.380505788388,689948.757928,1159535.36902
53.0,4163933.0,3.81774293114e-14,1.46076042128e-10,0.584668413361,0.839640589305,0.389992179018,665262.998336,1137846.65484
54.0,4006007.0,3.54255468545e-14,1.39798763248e-10,0.573735149262,0.829779399285,0.399250040559,639619.110338,1114833.40555
55.0,3853522.0,3.29172353417e-14,1.33985179293e-10,0.562348471682,0.820068469971,0.408084476868,612955.951374,1089993.09546
56.0,3708358.0,3.0627038901e-14,1.28698677148e-10,0.550619198755,0.810873117337,0.416207822993,585808.851571,1063909.2369
57.0,3566317.0,2.85326173547e-14,1.23718728011e-10,0.538643970815,0.801663063341,0.424136754235,558245.594063,1036390.68533
58.0,7893541.0,2.66142255385e-14,1.19022320709e-10,0.52650669428,0.792451133118,0.431875934239,1221862.31457,2320696.63661
59.0,11046560.0,2.4854388977e-14,1.14686300848e-10,0.514279890667,0.783632913562,0.439121911882,1687406.64655,3281105.63367
60.0,3174823.0,2.32376399916e-14,1.1067509877e-10,0.502025943162,0.775213981946,0.445902434674,477709.153296,951562.682771
61.0,3053201.0,2.17502510946e-14,1.06873362912e-10,0.48979823846,0.766831383195,0.452525869495,451881.925237,922587.89386
62.0,2936463.0,2.03799973787e-14,1.03266801527e-10,0.47764220526,0.758491895539,0.458996552661,426922.060256,893811.425277
63.0,2823241.0,1.91159852191e-14,9.99111707082e-11,0.465596253276,0.750541716515,0.465073303291,402697.273077,864906.601467
64.0,2714120.0,1.79484576984e-14,9.67936255975e-11,0.453692618152,0.743028389827,0.470742089455,379390.5236,836228.116616
65.0,2608197.0,1.68687271482e-14,9.3823453636e-11,0.441958118606,0.735574416104,0.47628621049,356963.040058,807685.219549
66.0,2506634.0,1.58689882326e-14,9.09914724215e-11,0.430414832555,0.728182887416,0.481709266164,335609.093547,779734.033688
67.0,4895734.0,1.49422262596e-14,8.83068656429e-11,0.419080699056,0.720961828986,0.486944661347,640746.915588,1528934.44397
68.0,2311897.0,1.40821443704e-14,8.58340309915e-11,0.407970052814,0.714372666096,0.49169656298,295575.924451,724503.973788
69.0,2864110.0,1.32830698771e-14,8.34675519367e-11,0.397094097706,0.707849510309,0.49635036084,357496.769806,900282.255191
70.0,2063513.0,1.25398825488e-14,8.12013492061e-11,0.386461325406,0.701393391181,0.50090889236,251330.400138,650337.77927
71.0,1981533.0,1.18479565506e-14,7.90297734436e-11,0.376077884796,0.695005162724,0.505374899553,235390.879271,625909.921288
72.0,1901665.0,1.1203109855e-14,7.69923085583e-11,0.365947907388,0.689010232266,0.50955135854,220250.400115,601862.71234
73.0,1824020.0,1.06015373688e-14,7.5072288737e-11,0.356073793518,0.683351939393,0.513481309204,205910.050274,578279.148937
74.0,1748527.0,1.00398093652e-14,7.32267873634e-11,0.346456463687,0.677757675502,0.517336208434,192332.244152,555141.162919
75.0,1674174.0,9.51480036893e-15,7.14519299642e-11,0.337095578946,0.672227342148,0.521118165468,179387.889485,532157.348506
76.0,1602165.0,9.02366722264e-15,6.97440926836e-11,0.327989733866,0.666760770282,0.5248292153,167188.637652,509737.410624
77.0,1530868.0,8.56382320551e-15,6.81365507259e-11,0.319136625259,0.661671278208,0.528289876018,155561.66098,487445.340546
78.0,1462082.0,8.13289653074e-15,6.66094420652e-11,0.310533199482,0.656837508425,0.531575563637,144664.266818,465857.650838
79.0,1393951.0,7.72873876268e-15,6.51362423546e-11,0.302175780837,0.65206096485,0.534803327346,134276.666741,444366.078476
80.0,1328013.0,7.34937894374e-15,6.37143838504e-11,0.29406018332,0.647341101948,0.537974725701,124528.727689,423480.412354
81.0,1262406.0,6.9930133584e-15,6.23414517198e-11,0.286181807705,0.642677353454,0.541091262542,105804.107451,369709.410599
82.0,1198964.0,6.65798773068e-15,6.10307155092e-11,0.278535725737,0.638221381026,0.544070047348,92475.0946606,332004.429292
83.0,1135588.0,6.3427876661e-15,5.97924405509e-11,0.271116752982,0.634107653853,0.546839529512,85623.6254356,315818.275683
84.0,1074203.0,6.04602250647e-15,5.85941873054e-11,0.263919511744,0.630042946854,0.549563933393,79163.3712496,299952.704241
85.0,1012553.0,5.76641338097e-15,5.7434198902e-11,0.256938485236,0.626026590115,0.552244412193,72918.4698768,283797.383681
86.0,952920.6,5.5027837342e-15,5.63108153277e-11,0.250168064111,0.622057914967,0.554882079597,67047.7248961,268010.727646
