energy,diameter,dfec_lynch
10,0.332681017613,3382.91551327
10,0.665362035225,6786.18568015
10,0.998043052838,10184.6934192
10,1.33072407045,13582.1234454
10,1.66340508806,16979.1456221
10,1.99608610568,20375.9270851
10,2.32876712329,23772.5908156
10,2.6614481409,27169.1803568
10,2.99412915851,30565.7105598
10,3.32681017613,33962.2095604
10,3.65949119374,37358.6815967
10,3.99217221135,40755.1300437
10,4.32485322896,44151.5687826
10,4.65753424658,47544.6572451
10,4.99021526419,50682.8334708
10,5.3228962818,53301.2722457
10,5.65557729941,55402.9605445
10,5.98825831703,57047.7473168
10,6.32093933464,58304.620432
10,6.65362035225,59238.0264799
10,6.98630136986,59904.0402888
10,7.31898238748,60349.964744
10,7.65166340509,60615.1217931
10,7.9843444227,60731.9758578
10,8.31702544031,60727.2561154
10,8.64970645793,60622.9597775
10,8.98238747554,60437.2057556
10,9.31506849315,60184.9407564
10,9.64774951076,59878.5195863
10,9.98043052838,59528.1753549
10,10.313111546,59142.4016085
10,10.6457925636,58728.2625396
10,10.9784735812,58291.6440842
10,11.3111545988,57837.4585361
10,11.6438356164,57369.8113423
10,11.9765166341,56892.1371653
10,12.3091976517,56407.3118102
10,12.6418786693,55917.7440622
10,12.9745596869,55425.4513796
10,13.3072407045,54932.1227861
10,13.6399217221,54439.1708139
10,13.9726027397,53947.7748329
10,14.3052837573,53458.9173211
10,14.637964775,52973.4140304
10,14.9706457926,52491.9394541
10,15.3033268102,52015.0482335
10,15.6360078278,51543.1931189
10,15.9686888454,51076.7402741
10,16.301369863,50615.9821678
10,16.6340508806,50161.1485056
10,16.9667318982,49712.4155961
10,17.2994129159,49269.9142656
10,17.6320939335,48833.7366398
10,17.9647749511,48403.9419468
10,18.2974559687,47980.5614551
10,18.6301369863,47563.6027333
10,18.9628180039,47153.053294
10,19.2954990215,46748.8837254
10,19.6281800391,46351.0503774
10,19.9608610568,45959.4976733
10,20.2935420744,45574.1601193
10,20.626223092,45194.9639959
10,20.9589041096,44821.8288431
10,21.2915851272,44454.6687483
10,21.6242661448,44093.3934166
10,21.9569471624,43737.9091365
10,22.28962818,43388.1195765
10,22.6223091977,43043.9264731
10,22.9549902153,42705.230278
10,23.2876712329,42371.9306179
10,23.6203522505,42043.9267339
10,23.9530332681,41721.1179193
10,24.2857142857,41403.4037774
10,24.6183953033,41090.6845008
10,24.9510763209,40782.8611327
10,25.2837573386,40479.8357259
10,25.6164383562,40181.5115354
10,25.9491193738,39887.7931167
10,26.2818003914,39598.5864402
10,26.614481409,39313.7990455
10,26.9471624266,39033.3400129
10,27.2798434442,38757.1200494
10,27.6125244618,38485.0516164
10,27.9452054795,38217.0488375
10,28.2778864971,37953.0275528
10,28.6105675147,37692.9054062
10,28.9432485323,37436.6017601
10,29.2759295499,37184.0377059
10,29.6086105675,36935.1360947
10,29.9412915851,36689.8215196
10,30.2739726027,36448.0202522
10,30.6066536204,36209.6602372
10,30.939334638,35974.6711675
10,31.2720156556,35742.9842833
10,31.6046966732,35514.5324454
10,31.9373776908,35289.2503439
10,32.2700587084,35066.1293145
10,32.602739726,34824.5889143
10,32.9354207436,34542.482364
10,33.2681017613,34208.4593739
10,33.6007827789,33815.0552636
10,33.9334637965,33357.0392659
10,34.2661448141,32830.6856416
10,34.5988258317,32233.3615519
10,34.9315068493,31563.2637115
10,35.2641878669,30819.2343695
10,35.5968688845,30000.6280689
10,35.9295499022,29107.2116482
10,36.2622309198,28139.084519
10,36.5949119374,27096.6171342
10,36.927592955,25989.1863774
10,37.2602739726,24890.4855049
10,37.5929549902,23822.5026362
10,37.9256360078,22793.1098214
10,38.2583170254,21811.2123903
10,38.5909980431,20884.1512532
10,38.9236790607,20017.836502
10,39.2563600783,19216.9953562
10,39.5890410959,18485.3866022
10,39.9217221135,17825.9719867
10,40.2544031311,17241.0509639
10,40.5870841487,16732.3695636
10,40.9197651663,16301.2085075
10,41.252446184,15948.454353
10,41.5851272016,15670.8271802
10,41.9178082192,15450.0679455
10,42.2504892368,15274.4799601
10,42.5831702544,15136.8193765
10,42.915851272,15031.6848174
10,43.2485322896,14954.789828
10,43.5812133072,14902.613457
10,43.9138943249,14872.1981038
10,44.2465753425,14861.0196825
10,44.5792563601,14866.8984557
10,44.9119373777,14887.9345421
10,45.2446183953,14922.4596756
10,45.5772994129,14969.0001356
10,45.9099804305,15026.2474018
10,46.2426614481,15093.034717
10,46.5753424658,15168.3179457
10,46.9080234834,15251.1597785
10,47.240704501,15340.7164608
10,47.5733855186,15436.2268063
10,47.9060665362,15537.0025951
10,48.2387475538,15642.420486
10,48.5714285714,15751.9150617
10,48.904109589,15864.5309362
10,49.2367906067,15960.4882007
10,49.5694716243,16013.2114802
10,49.9021526419,16008.2667057
10,50.2348336595,15935.5366261
10,50.5675146771,15787.3284593
10,50.9001956947,15557.5923135
10,51.2328767123,15241.4926163
10,51.5655577299,14835.1379049
10,51.8982387476,14335.3950601
10,52.2309197652,13753.0411901
10,52.5636007828,13139.8140987
10,52.8962818004,12526.940242
10,53.228962818,11934.0794346
10,53.5616438356,11375.8320109
10,53.8943248532,10863.6614832
10,54.2270058708,10406.8354101
