energy,diameter,dfec_lynch
20,0.332681017613,336.917810688
20,0.665362035225,677.413191809
20,0.998043052838,1017.04788853
20,1.33072407045,1356.51672605
20,1.66340508806,1695.89745267
20,1.99608610568,2035.24750603
20,2.32876712329,2374.57045812
20,2.6614481409,2713.8845603
20,2.99412915851,3053.18259304
20,3.32681017613,3369.74747105
20,3.65949119374,3609.90096988
20,3.99217221135,3777.80944728
20,4.32485322896,3888.75787339
20,4.65753424658,3956.6591754
20,4.99021526419,3992.47915148
20,5.3228962818,4004.50649464
20,5.65557729941,3998.92648703
20,5.98825831703,3980.34564407
20,6.32093933464,3952.20316897
20,6.65362035225,3917.07800911
20,6.98630136986,3876.91300846
20,7.31898238748,3833.17872311
20,7.65166340509,3786.9924917
20,7.9843444227,3739.20608072
20,8.31702544031,3690.47002614
20,8.64970645793,3641.2816648
20,8.98238747554,3592.02091152
20,9.31506849315,3542.97732045
20,9.64774951076,3494.37046902
20,9.98043052838,3446.36561039
20,10.313111546,3399.0856951
20,10.6457925636,3352.62060535
20,10.9784735812,3307.03432281
20,11.3111545988,3262.37056695
20,11.6438356164,3218.65717014
20,11.9765166341,3175.90951168
20,12.3091976517,3134.13326691
20,12.6418786693,3093.32654262
20,12.9745596869,3053.48159169
20,13.3072407045,3014.5861743
20,13.6399217221,2976.62463274
20,13.9726027397,2939.57876899
20,14.3052837573,2903.42850085
20,14.637964775,2868.15246432
20,14.9706457926,2833.72837495
20,15.3033268102,2800.13346223
20,15.6360078278,2767.34466031
20,15.9686888454,2735.3388934
20,16.301369863,2704.09320329
20,16.6340508806,2673.58490032
20,16.9667318982,2643.7916646
20,17.2994129159,2614.69162251
20,17.6320939335,2586.26339205
20,17.9647749511,2558.48616649
20,18.2974559687,2531.3396623
20,18.6301369863,2504.80426177
20,18.9628180039,2478.86086069
20,19.2954990215,2453.49106182
20,19.6281800391,2428.67697405
20,19.9608610568,2404.40139334
20,20.2935420744,2380.64764475
20,20.626223092,2357.39965445
20,20.9589041096,2334.64195151
20,21.2915851272,2312.30905195
20,21.6242661448,2287.30283479
20,21.9569471624,2255.31163804
20,22.28962818,2214.36877734
20,22.6223091977,2163.35292378
20,22.9549902153,2101.59896677
20,23.2876712329,2028.73341792
20,23.6203522505,1944.58336546
20,23.9530332681,1849.11844532
20,24.2857142857,1742.44549883
20,24.6183953033,1632.33875714
20,24.9510763209,1527.05484547
20,25.2837573386,1428.47037467
20,25.6164383562,1338.31125409
20,25.9491193738,1257.8241213
20,26.2818003914,1187.89273679
20,26.614481409,1129.13073163
20,26.9471624266,1081.94701291
20,27.2798434442,1046.59360804
20,27.6125244618,1021.82352113
20,27.9452054795,1004.30783899
20,28.2778864971,992.313424213
20,28.6105675147,984.733038989
20,28.9432485323,980.758699036
20,29.2759295499,979.767001924
20,29.6086105675,981.261060573
20,29.9412915851,984.836226136
20,30.2739726027,990.157764424
20,30.6066536204,996.945621743
20,30.939334638,1004.96329543
20,31.2720156556,1014.00972226
20,31.6046966732,1023.91291349
20,31.9373776908,1034.52512891
20,32.2700587084,1045.69725616
20,32.602739726,1054.35463782
20,32.9354207436,1055.39549657
20,33.2681017613,1046.21571651
20,33.6007827789,1025.13679527
20,33.9334637965,990.982004578
20,34.2661448141,942.906563066
20,34.5988258317,883.523010623
20,34.9315068493,822.251090115
20,35.2641878669,764.158202161
20,35.5968688845,712.360997261
20,35.9295499022,669.066225992
20,36.2622309198,635.913661935
20,36.5949119374,614.060878432
20,36.927592955,601.373393425
20,37.2602739726,594.697947697
20,37.5929549902,592.580814261
20,37.9256360078,594.095614742
20,38.2583170254,598.577911403
20,38.5909980431,605.522088711
20,38.9236790607,614.528842862
20,39.2563600783,625.274655654
20,39.5890410959,637.492381008
20,39.9217221135,650.958240675
20,40.2544031311,665.482609937
20,40.5870841487,680.903353844
20,40.9197651663,697.080794583
20,41.252446184,713.893866788
20,41.5851272016,731.237093378
20,41.9178082192,749.018205095
20,42.2504892368,767.156184469
20,42.5831702544,785.579695105
20,42.915851272,804.22577277
20,43.2485322896,823.038726318
20,43.5812133072,841.969232154
20,43.9138943249,860.973539012
20,44.2465753425,880.012828466
20,44.5792563601,899.052604795
20,44.9119373777,918.062264228
20,45.2446183953,937.014565896
20,45.5772994129,955.839216557
20,45.9099804305,973.325311183
20,46.2426614481,988.072499691
20,46.5753424658,999.320639247
20,46.9080234834,1006.53772265
20,47.240704501,1009.32304002
20,47.5733855186,1007.3654487
20,47.9060665362,1000.42028165
20,48.2387475538,988.29446348
20,48.5714285714,970.901811682
20,48.904109589,950.818211977
20,49.2367906067,930.356043897
20,49.5694716243,910.661511247
20,49.9021526419,892.588830262
