energy,diameter,dfec_lynch
20,0.332681017613,168.458905344
20,0.665362035225,338.706595904
20,0.998043052838,508.523944265
20,1.33072407045,678.258363026
20,1.66340508806,847.948726334
20,1.99608610568,1017.62375301
20,2.32876712329,1187.28522906
20,2.6614481409,1356.94228015
20,2.99412915851,1526.59129652
20,3.32681017613,1684.87373552
20,3.65949119374,1804.95048494
20,3.99217221135,1888.90472364
20,4.32485322896,1944.37893669
20,4.65753424658,1978.3295877
20,4.99021526419,1996.23957574
20,5.3228962818,2002.25324732
20,5.65557729941,1999.46324351
20,5.98825831703,1990.17282204
20,6.32093933464,1976.10158449
20,6.65362035225,1958.53900456
20,6.98630136986,1938.45650423
20,7.31898238748,1916.58936155
20,7.65166340509,1893.49624585
20,7.9843444227,1869.60304036
20,8.31702544031,1845.23501307
20,8.64970645793,1820.6408324
20,8.98238747554,1796.01045576
20,9.31506849315,1771.48866023
20,9.64774951076,1747.18523451
20,9.98043052838,1723.1828052
20,10.313111546,1699.54284755
20,10.6457925636,1676.31030268
20,10.9784735812,1653.51716141
20,11.3111545988,1631.18528347
20,11.6438356164,1609.32858507
20,11.9765166341,1587.95475584
20,12.3091976517,1567.06663346
20,12.6418786693,1546.66327131
20,12.9745596869,1526.74079584
20,13.3072407045,1507.29308715
20,13.6399217221,1488.31231637
20,13.9726027397,1469.78938449
20,14.3052837573,1451.71425043
20,14.637964775,1434.07623216
20,14.9706457926,1416.86418748
20,15.3033268102,1400.06673111
20,15.6360078278,1383.67233015
20,15.9686888454,1367.6694467
20,16.301369863,1352.04660165
20,16.6340508806,1336.79245016
20,16.9667318982,1321.8958323
20,17.2994129159,1307.34581125
20,17.6320939335,1293.13169602
20,17.9647749511,1279.24308325
20,18.2974559687,1265.66983115
20,18.6301369863,1252.40213088
20,18.9628180039,1239.43043034
20,19.2954990215,1226.74553091
20,19.6281800391,1214.33848703
20,19.9608610568,1202.20069667
20,20.2935420744,1190.32382238
20,20.626223092,1178.69982722
20,20.9589041096,1167.32097575
20,21.2915851272,1156.15452598
20,21.6242661448,1143.65141739
20,21.9569471624,1127.65581902
20,22.28962818,1107.18438867
20,22.6223091977,1081.67646189
20,22.9549902153,1050.79948339
20,23.2876712329,1014.36670896
20,23.6203522505,972.291682731
20,23.9530332681,924.559222659
20,24.2857142857,871.222749414
20,24.6183953033,816.169378571
20,24.9510763209,763.527422735
20,25.2837573386,714.235187335
20,25.6164383562,669.155627043
20,25.9491193738,628.912060651
20,26.2818003914,593.946368395
20,26.614481409,564.565365814
20,26.9471624266,540.973506454
20,27.2798434442,523.296804019
20,27.6125244618,510.911760564
20,27.9452054795,502.153919497
20,28.2778864971,496.156712107
20,28.6105675147,492.366519494
20,28.9432485323,490.379349518
20,29.2759295499,489.883500962
20,29.6086105675,490.630530287
20,29.9412915851,492.418113068
20,30.2739726027,495.078882212
20,30.6066536204,498.472810872
20,30.939334638,502.481647715
20,31.2720156556,507.00486113
20,31.6046966732,511.956456745
20,31.9373776908,517.262564456
20,32.2700587084,522.848628081
20,32.602739726,527.17731891
20,32.9354207436,527.697748287
20,33.2681017613,523.107858253
20,33.6007827789,512.568397635
20,33.9334637965,495.491002289
20,34.2661448141,471.453281533
20,34.5988258317,441.761505311
20,34.9315068493,411.125545057
20,35.2641878669,382.07910108
20,35.5968688845,356.18049863
